gene_id,gene_name,description
ENSMUSG00000000531,Tamalin,trafficking regulator and scaffold protein tamalin [Source:MGI Symbol;Acc:MGI:1860303]
ENSMUSG00000000532,Acvr1b,"activin A receptor, type 1B [Source:MGI Symbol;Acc:MGI:1338944]"
ENSMUSG00000000538,Tom1l2,target of myb1-like 2 (chicken) [Source:MGI Symbol;Acc:MGI:2443306]
ENSMUSG00000000544,Gpa33,glycoprotein A33 (transmembrane) [Source:MGI Symbol;Acc:MGI:1891703]
ENSMUSG00000000552,Zfp385a,zinc finger protein 385A [Source:MGI Symbol;Acc:MGI:1352495]
ENSMUSG00000000555,Itga5,integrin alpha 5 (fibronectin receptor alpha) [Source:MGI Symbol;Acc:MGI:96604]
ENSMUSG00000000560,Gabra2,"gamma-aminobutyric acid (GABA) A receptor, subunit alpha 2 [Source:MGI Symbol;Acc:MGI:95614]"
ENSMUSG00000000561,Wdr77,WD repeat domain 77 [Source:MGI Symbol;Acc:MGI:1917715]
ENSMUSG00000000562,Adora3,adenosine A3 receptor [Source:MGI Symbol;Acc:MGI:104847]
ENSMUSG00000000563,Atp5pb,ATP synthase peripheral stalk-membrane subunit b [Source:MGI Symbol;Acc:MGI:1100495]
ENSMUSG00000000567,Sox9,SRY (sex determining region Y)-box 9 [Source:MGI Symbol;Acc:MGI:98371]
ENSMUSG00000000568,Hnrnpd,heterogeneous nuclear ribonucleoprotein D [Source:MGI Symbol;Acc:MGI:101947]
ENSMUSG00000000579,Dynlt1c,dynein light chain Tctex-type 1C [Source:MGI Symbol;Acc:MGI:3807476]
ENSMUSG00000000581,C1d,C1D nuclear receptor co-repressor [Source:MGI Symbol;Acc:MGI:1927354]
ENSMUSG00000000594,Gm2a,GM2 ganglioside activator protein [Source:MGI Symbol;Acc:MGI:95762]
ENSMUSG00000000600,Krit1,"KRIT1, ankyrin repeat containing [Source:MGI Symbol;Acc:MGI:1930618]"
ENSMUSG00000000605,Clcn4,"chloride channel, voltage-sensitive 4 [Source:MGI Symbol;Acc:MGI:104571]"
ENSMUSG00000000617,Grm6,"glutamate receptor, metabotropic 6 [Source:MGI Symbol;Acc:MGI:1351343]"
ENSMUSG00000000627,Sema4f,"sema domain, immunoglobulin domain (Ig), TM domain, and short cytoplasmic domain [Source:MGI Symbol;Acc:MGI:1340055]"
ENSMUSG00000000628,Hk2,hexokinase 2 [Source:MGI Symbol;Acc:MGI:1315197]
ENSMUSG00000000631,Myo18a,myosin XVIIIA [Source:MGI Symbol;Acc:MGI:2667185]
ENSMUSG00000000632,Sez6,seizure related gene 6 [Source:MGI Symbol;Acc:MGI:104745]
ENSMUSG00000000673,Haao,"3-hydroxyanthranilate 3,4-dioxygenase [Source:MGI Symbol;Acc:MGI:1349444]"
ENSMUSG00000000682,Cd52,CD52 antigen [Source:MGI Symbol;Acc:MGI:1346088]
ENSMUSG00000000686,Abhd15,abhydrolase domain containing 15 [Source:MGI Symbol;Acc:MGI:1914727]
ENSMUSG00000000690,Hoxb6,homeobox B6 [Source:MGI Symbol;Acc:MGI:96187]
ENSMUSG00000000693,Loxl3,lysyl oxidase-like 3 [Source:MGI Symbol;Acc:MGI:1337004]
ENSMUSG00000000706,Btn1a1,"butyrophilin, subfamily 1, member A1 [Source:MGI Symbol;Acc:MGI:103118]"
ENSMUSG00000000708,Kat2b,K(lysine) acetyltransferase 2B [Source:MGI Symbol;Acc:MGI:1343094]
ENSMUSG00000000711,Rab5b,"RAB5B, member RAS oncogene family [Source:MGI Symbol;Acc:MGI:105938]"
ENSMUSG00000000730,Dnmt3l,DNA (cytosine-5-)-methyltransferase 3-like [Source:MGI Symbol;Acc:MGI:1859287]
ENSMUSG00000000731,Aire,autoimmune regulator (autoimmune polyendocrinopathy candidiasis ectodermal dystrophy) [Source:MGI Symbol;Acc:MGI:1338803]
ENSMUSG00000000732,Icosl,icos ligand [Source:MGI Symbol;Acc:MGI:1354701]
ENSMUSG00000000738,Spg7,"SPG7, paraplegin matrix AAA peptidase subunit [Source:MGI Symbol;Acc:MGI:2385906]"
ENSMUSG00000000739,Sult5a1,"sulfotransferase family 5A, member 1 [Source:MGI Symbol;Acc:MGI:1931463]"
ENSMUSG00000000740,Rpl13,ribosomal protein L13 [Source:MGI Symbol;Acc:MGI:105922]
ENSMUSG00000000743,Chmp1a,charged multivesicular body protein 1A [Source:MGI Symbol;Acc:MGI:1920159]
ENSMUSG00000000751,Rpa1,replication protein A1 [Source:MGI Symbol;Acc:MGI:1915525]
ENSMUSG00000000753,Serpinf1,"serine (or cysteine) peptidase inhibitor, clade F, member 1 [Source:MGI Symbol;Acc:MGI:108080]"
ENSMUSG00000000759,Tubgcp3,"tubulin, gamma complex associated protein 3 [Source:MGI Symbol;Acc:MGI:2183752]"
ENSMUSG00000000766,Oprm1,"opioid receptor, mu 1 [Source:MGI Symbol;Acc:MGI:97441]"
ENSMUSG00000000776,Polr3d,polymerase (RNA) III (DNA directed) polypeptide D [Source:MGI Symbol;Acc:MGI:1914315]
ENSMUSG00000000782,Tcf7,"transcription factor 7, T cell specific [Source:MGI Symbol;Acc:MGI:98507]"
ENSMUSG00000000787,Ddx3x,"DEAD box helicase 3, X-linked [Source:MGI Symbol;Acc:MGI:103064]"
ENSMUSG00000000791,Il12rb1,"interleukin 12 receptor, beta 1 [Source:MGI Symbol;Acc:MGI:104579]"
ENSMUSG00000000792,Slc5a5,"solute carrier family 5 (sodium iodide symporter), member 5 [Source:MGI Symbol;Acc:MGI:2149330]"
ENSMUSG00000000794,Kcnn3,"potassium intermediate/small conductance calcium-activated channel, subfamily N, member 3 [Source:MGI Symbol;Acc:MGI:2153183]"
ENSMUSG00000000804,Usp32,ubiquitin specific peptidase 32 [Source:MGI Symbol;Acc:MGI:2144475]
ENSMUSG00000000805,Car4,carbonic anhydrase 4 [Source:MGI Symbol;Acc:MGI:1096574]
ENSMUSG00000000811,Txnrd3,thioredoxin reductase 3 [Source:MGI Symbol;Acc:MGI:2386711]
ENSMUSG00000000817,Fasl,"Fas ligand (TNF superfamily, member 6) [Source:MGI Symbol;Acc:MGI:99255]"
ENSMUSG00000000823,Zfp512b,zinc finger protein 512B [Source:MGI Symbol;Acc:MGI:2685478]
ENSMUSG00000000826,Dnajc5,DnaJ heat shock protein family (Hsp40) member C5 [Source:MGI Symbol;Acc:MGI:892995]
ENSMUSG00000000827,Tpd52l2,tumor protein D52-like 2 [Source:MGI Symbol;Acc:MGI:1913564]
ENSMUSG00000000838,Fmr1,FMRP translational regulator 1 [Source:MGI Symbol;Acc:MGI:95564]
ENSMUSG00000000861,Bcl11a,B cell CLL/lymphoma 11A (zinc finger protein) [Source:MGI Symbol;Acc:MGI:106190]
ENSMUSG00000000869,Il4,interleukin 4 [Source:MGI Symbol;Acc:MGI:96556]
ENSMUSG00000000876,Pxmp4,peroxisomal membrane protein 4 [Source:MGI Symbol;Acc:MGI:1891701]
ENSMUSG00000000881,Dlg3,discs large MAGUK scaffold protein 3 [Source:MGI Symbol;Acc:MGI:1888986]
ENSMUSG00000000884,Gnb1l,"guanine nucleotide binding protein (G protein), beta polypeptide 1-like [Source:MGI Symbol;Acc:MGI:1338057]"
ENSMUSG00000000889,Dbh,dopamine beta hydroxylase [Source:MGI Symbol;Acc:MGI:94864]
ENSMUSG00000000901,Mmp11,matrix metallopeptidase 11 [Source:MGI Symbol;Acc:MGI:97008]
ENSMUSG00000000902,Smarcb1,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily b, member 1 [Source:MGI Symbol;Acc:MGI:1328366]"
ENSMUSG00000000903,Vpreb3,pre-B lymphocyte gene 3 [Source:MGI Symbol;Acc:MGI:98938]
ENSMUSG00000000915,Hip1r,huntingtin interacting protein 1 related [Source:MGI Symbol;Acc:MGI:1352504]
ENSMUSG00000000916,Nsun5,"NOL1/NOP2/Sun domain family, member 5 [Source:MGI Symbol;Acc:MGI:2140844]"
ENSMUSG00000000934,Top1mt,"DNA topoisomerase 1, mitochondrial [Source:MGI Symbol;Acc:MGI:1920210]"
ENSMUSG00000000938,Hoxa10,homeobox A10 [Source:MGI Symbol;Acc:MGI:96171]
ENSMUSG00000000942,Hoxa4,homeobox A4 [Source:MGI Symbol;Acc:MGI:96176]
ENSMUSG00000000948,Gm38393,"predicted gene, 38393 [Source:MGI Symbol;Acc:MGI:5613898]"
ENSMUSG00000000957,Mmp14,matrix metallopeptidase 14 (membrane-inserted) [Source:MGI Symbol;Acc:MGI:101900]
ENSMUSG00000000958,Slc7a7,"solute carrier family 7 (cationic amino acid transporter, y+ system), member 7 [Source:MGI Symbol;Acc:MGI:1337120]"
ENSMUSG00000000959,Oxa1l,oxidase assembly 1-like [Source:MGI Symbol;Acc:MGI:1916339]
ENSMUSG00000000976,Heatr6,HEAT repeat containing 6 [Source:MGI Symbol;Acc:MGI:1919790]
ENSMUSG00000000982,Ccl3,chemokine (C-C motif) ligand 3 [Source:MGI Symbol;Acc:MGI:98260]
ENSMUSG00000000983,Wfdc18,WAP four-disulfide core domain 18 [Source:MGI Symbol;Acc:MGI:107506]
ENSMUSG00000001014,Icam4,"intercellular adhesion molecule 4, Landsteiner-Wiener blood group [Source:MGI Symbol;Acc:MGI:1925619]"
ENSMUSG00000001016,Ilf2,interleukin enhancer binding factor 2 [Source:MGI Symbol;Acc:MGI:1915031]
ENSMUSG00000001017,Chtop,chromatin target of PRMT1 [Source:MGI Symbol;Acc:MGI:1913761]
ENSMUSG00000001018,Snapin,SNAP-associated protein [Source:MGI Symbol;Acc:MGI:1333745]
ENSMUSG00000001020,S100a4,S100 calcium binding protein A4 [Source:MGI Symbol;Acc:MGI:1330282]
ENSMUSG00000001021,S100a3,S100 calcium binding protein A3 [Source:MGI Symbol;Acc:MGI:1338849]
ENSMUSG00000001023,S100a5,S100 calcium binding protein A5 [Source:MGI Symbol;Acc:MGI:1338915]
ENSMUSG00000001025,S100a6,S100 calcium binding protein A6 (calcyclin) [Source:MGI Symbol;Acc:MGI:1339467]
ENSMUSG00000001027,Scn4a,"sodium channel, voltage-gated, type IV, alpha [Source:MGI Symbol;Acc:MGI:98250]"
ENSMUSG00000001029,Icam2,intercellular adhesion molecule 2 [Source:MGI Symbol;Acc:MGI:96394]
ENSMUSG00000001034,Mapk7,mitogen-activated protein kinase 7 [Source:MGI Symbol;Acc:MGI:1346347]
ENSMUSG00000001036,Epn2,epsin 2 [Source:MGI Symbol;Acc:MGI:1333766]
ENSMUSG00000001039,B9d1,B9 protein domain 1 [Source:MGI Symbol;Acc:MGI:1351471]
ENSMUSG00000001052,Sec24b,"Sec24 related gene family, member B (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:2139764]"
ENSMUSG00000001053,N4bp3,NEDD4 binding protein 3 [Source:MGI Symbol;Acc:MGI:2442218]
ENSMUSG00000001054,Rmnd5b,required for meiotic nuclear division 5 homolog B [Source:MGI Symbol;Acc:MGI:1913339]
ENSMUSG00000001056,Nhp2,NHP2 ribonucleoprotein [Source:MGI Symbol;Acc:MGI:1098547]
ENSMUSG00000001062,Vps9d1,VPS9 domain containing 1 [Source:MGI Symbol;Acc:MGI:1914143]
ENSMUSG00000001065,Zfp276,zinc finger protein (C2H2 type) 276 [Source:MGI Symbol;Acc:MGI:1888495]
ENSMUSG00000001076,C1ql4,"complement component 1, q subcomponent-like 4 [Source:MGI Symbol;Acc:MGI:3579909]"
ENSMUSG00000001082,Mfsd10,major facilitator superfamily domain containing 10 [Source:MGI Symbol;Acc:MGI:1915544]
ENSMUSG00000001089,Luzp1,leucine zipper protein 1 [Source:MGI Symbol;Acc:MGI:107629]
ENSMUSG00000001095,Slc13a2,"solute carrier family 13 (sodium-dependent dicarboxylate transporter), member 2 [Source:MGI Symbol;Acc:MGI:1276558]"
ENSMUSG00000001098,Kctd10,potassium channel tetramerisation domain containing 10 [Source:MGI Symbol;Acc:MGI:2141207]
ENSMUSG00000001100,Poldip2,"polymerase (DNA-directed), delta interacting protein 2 [Source:MGI Symbol;Acc:MGI:1915061]"
ENSMUSG00000001103,Sebox,SEBOX homeobox [Source:MGI Symbol;Acc:MGI:108012]
ENSMUSG00000001105,Ift20,intraflagellar transport 20 [Source:MGI Symbol;Acc:MGI:1915585]
ENSMUSG00000001119,Col6a1,"collagen, type VI, alpha 1 [Source:MGI Symbol;Acc:MGI:88459]"
ENSMUSG00000001120,Pcbp3,poly(rC) binding protein 3 [Source:MGI Symbol;Acc:MGI:1890470]
ENSMUSG00000001123,Lgals9,"lectin, galactose binding, soluble 9 [Source:MGI Symbol;Acc:MGI:109496]"
ENSMUSG00000001127,Araf,"Araf proto-oncogene, serine/threonine kinase [Source:MGI Symbol;Acc:MGI:88065]"
ENSMUSG00000001128,Cfp,complement factor properdin [Source:MGI Symbol;Acc:MGI:97545]
ENSMUSG00000001131,Timp1,tissue inhibitor of metalloproteinase 1 [Source:MGI Symbol;Acc:MGI:98752]
ENSMUSG00000001134,Uxt,ubiquitously expressed prefoldin like chaperone [Source:MGI Symbol;Acc:MGI:1277988]
ENSMUSG00000001138,Cnnm3,cyclin M3 [Source:MGI Symbol;Acc:MGI:2151055]
ENSMUSG00000001143,Lman2l,"lectin, mannose-binding 2-like [Source:MGI Symbol;Acc:MGI:2443010]"
ENSMUSG00000001150,Mcm3ap,minichromosome maintenance complex component 3 associated protein [Source:MGI Symbol;Acc:MGI:1930089]
ENSMUSG00000001151,Pcnt,pericentrin (kendrin) [Source:MGI Symbol;Acc:MGI:102722]
ENSMUSG00000001155,Ftcd,formiminotransferase cyclodeaminase [Source:MGI Symbol;Acc:MGI:1339962]
ENSMUSG00000001156,Mxd1,MAX dimerization protein 1 [Source:MGI Symbol;Acc:MGI:96908]
ENSMUSG00000001157,Gmcl1,"germ cell-less, spermatogenesis associated 1 [Source:MGI Symbol;Acc:MGI:1345156]"
ENSMUSG00000001158,Snrnp27,small nuclear ribonucleoprotein 27 (U4/U6.U5) [Source:MGI Symbol;Acc:MGI:1913868]
ENSMUSG00000001166,Oas1c,2'-5' oligoadenylate synthetase 1C [Source:MGI Symbol;Acc:MGI:2149633]
ENSMUSG00000001173,Ocrl,"OCRL, inositol polyphosphate-5-phosphatase [Source:MGI Symbol;Acc:MGI:109589]"
ENSMUSG00000001175,Calm1,calmodulin 1 [Source:MGI Symbol;Acc:MGI:88251]
ENSMUSG00000001211,Agpat3,1-acylglycerol-3-phosphate O-acyltransferase 3 [Source:MGI Symbol;Acc:MGI:1336186]
ENSMUSG00000001225,Slc26a3,"solute carrier family 26, member 3 [Source:MGI Symbol;Acc:MGI:107181]"
ENSMUSG00000001227,Sema6b,"sema domain, transmembrane domain (TM), and cytoplasmic domain, (semaphorin) 6B [Source:MGI Symbol;Acc:MGI:1202889]"
ENSMUSG00000001228,Uhrf1,"ubiquitin-like, containing PHD and RING finger domains, 1 [Source:MGI Symbol;Acc:MGI:1338889]"
ENSMUSG00000001229,Dpp9,dipeptidylpeptidase 9 [Source:MGI Symbol;Acc:MGI:2443967]
ENSMUSG00000001240,Ramp2,receptor (calcitonin) activity modifying protein 2 [Source:MGI Symbol;Acc:MGI:1859650]
ENSMUSG00000001247,Lsr,lipolysis stimulated lipoprotein receptor [Source:MGI Symbol;Acc:MGI:1927471]
ENSMUSG00000001248,Gramd1a,GRAM domain containing 1A [Source:MGI Symbol;Acc:MGI:105490]
ENSMUSG00000001249,Hpn,hepsin [Source:MGI Symbol;Acc:MGI:1196620]
ENSMUSG00000001260,Gabrg1,"gamma-aminobutyric acid (GABA) A receptor, subunit gamma 1 [Source:MGI Symbol;Acc:MGI:103156]"
ENSMUSG00000001270,Ckb,"creatine kinase, brain [Source:MGI Symbol;Acc:MGI:88407]"
ENSMUSG00000001280,Sp1,trans-acting transcription factor 1 [Source:MGI Symbol;Acc:MGI:98372]
ENSMUSG00000001281,Itgb7,integrin beta 7 [Source:MGI Symbol;Acc:MGI:96616]
ENSMUSG00000001285,Myg1,melanocyte proliferating gene 1 [Source:MGI Symbol;Acc:MGI:1929864]
ENSMUSG00000001288,Rarg,"retinoic acid receptor, gamma [Source:MGI Symbol;Acc:MGI:97858]"
ENSMUSG00000001289,Pfdn5,prefoldin 5 [Source:MGI Symbol;Acc:MGI:1928753]
ENSMUSG00000001300,Efnb2,ephrin B2 [Source:MGI Symbol;Acc:MGI:105097]
ENSMUSG00000001305,Rrp15,ribosomal RNA processing 15 homolog [Source:MGI Symbol;Acc:MGI:1914473]
ENSMUSG00000001313,Rnd2,Rho family GTPase 2 [Source:MGI Symbol;Acc:MGI:1338755]
ENSMUSG00000001323,Srr,serine racemase [Source:MGI Symbol;Acc:MGI:1351636]
ENSMUSG00000001333,Sync,syncoilin [Source:MGI Symbol;Acc:MGI:1916078]
ENSMUSG00000001334,Fndc5,fibronectin type III domain containing 5 [Source:MGI Symbol;Acc:MGI:1917614]
ENSMUSG00000001348,Acp5,"acid phosphatase 5, tartrate resistant [Source:MGI Symbol;Acc:MGI:87883]"
ENSMUSG00000001349,Cnn1,calponin 1 [Source:MGI Symbol;Acc:MGI:104979]
ENSMUSG00000001366,Fbxo9,f-box protein 9 [Source:MGI Symbol;Acc:MGI:1918788]
ENSMUSG00000001376,Vps50,VPS50 EARP/GARPII complex subunit [Source:MGI Symbol;Acc:MGI:1920538]
ENSMUSG00000001380,Hars,histidyl-tRNA synthetase [Source:MGI Symbol;Acc:MGI:108087]
ENSMUSG00000001383,Zmat2,"zinc finger, matrin type 2 [Source:MGI Symbol;Acc:MGI:1913742]"
ENSMUSG00000001403,Ube2c,ubiquitin-conjugating enzyme E2C [Source:MGI Symbol;Acc:MGI:1915862]
ENSMUSG00000001415,Smg5,SMG5 nonsense mediated mRNA decay factor [Source:MGI Symbol;Acc:MGI:2447364]
ENSMUSG00000001416,Cct3,"chaperonin containing Tcp1, subunit 3 (gamma) [Source:MGI Symbol;Acc:MGI:104708]"
ENSMUSG00000001418,Glmp,glycosylated lysosomal membrane protein [Source:MGI Symbol;Acc:MGI:1913318]
ENSMUSG00000001419,Mef2d,myocyte enhancer factor 2D [Source:MGI Symbol;Acc:MGI:99533]
ENSMUSG00000001420,Tmem79,transmembrane protein 79 [Source:MGI Symbol;Acc:MGI:1919163]
ENSMUSG00000001424,Snd1,staphylococcal nuclease and tudor domain containing 1 [Source:MGI Symbol;Acc:MGI:1929266]
ENSMUSG00000001435,Col18a1,"collagen, type XVIII, alpha 1 [Source:MGI Symbol;Acc:MGI:88451]"
ENSMUSG00000001436,Slc19a1,"solute carrier family 19 (folate transporter), member 1 [Source:MGI Symbol;Acc:MGI:103182]"
